trial,value,colsample_bynode,colsample_bytree,grow_policy,learning_rate,max_delta_step,max_depth,max_leaves,min_child_weight,n_estimators,reg_alpha,reg_lambda,scale_pos_weight,subsample
23,0.8318993490912864,0.8,0.9,depthwise,0.23311249539682263,1,12,224,1.7411743631601744,1000,0.003062842356399175,0.6401822631340475,2.0635539379374293,0.6
8,0.8312245506105186,0.9,0.8,depthwise,0.2066382729733181,3,10,224,3.840300419098857,1000,0.000355025561231308,0.008160948743089917,1.3368349555492052,1.0
21,0.8243718866347506,0.9,0.8,depthwise,0.0701862656481159,4,16,256,8.05354889176955,1000,0.001256745026154994,1.15724196122336,2.4143071754122065,0.7
11,0.8237248913874273,0.9,0.8,depthwise,0.10277153272160228,3,16,256,9.885032801486325,750,0.00016942090142683128,8.643311533979524,2.52156803903726,0.7
26,0.8228022948657276,0.8,0.9,lossguide,0.19331882854555993,5,14,224,4.937559541741793,1000,0.0016462771157750645,0.8886049124780765,2.099881406581733,0.8
12,0.8227386980717268,0.9,0.8,depthwise,0.07612159246138928,4,16,256,9.775359624460025,1000,0.0023902783873697023,1.110291262606602,2.3921346059285242,0.7
22,0.8220195548020904,0.9,0.8,depthwise,0.08296843457517893,3,16,256,3.40966852124665,1000,0.0007094406412303639,2.0689951408415017,3.1864672841939607,0.7
24,0.8219298485997389,0.7,0.9,depthwise,0.24513980345584924,1,12,192,1.987398931851591,1000,0.0037288992674572217,0.5333647925523599,1.680766029856793,0.6
10,0.8211212023546777,0.9,0.8,depthwise,0.11831880268365708,3,16,256,7.579616227230478,750,0.00013699609124372505,6.070701514183076,2.4513648835494877,0.7
5,0.8190201918706599,0.7,0.5,lossguide,0.012485368572526356,9,0,224,0.0029072088906598446,1000,0.13076473382928538,0.021066486017042207,0.5787997763336384,0.9
20,0.8183439623647223,0.8,0.7,depthwise,0.0358963616722343,4,10,256,0.3637261081527019,750,0.09205314638599477,3.2224824035043143,1.075699526433944,0.9
16,0.8180855583244454,0.8,0.7,depthwise,0.14936505152823693,0,6,224,2.505344056610375,500,0.0004131730417413813,0.3395772210250348,1.1415640216345706,0.7
14,0.8165983908152089,0.9,0.8,depthwise,0.04065033013432208,6,14,224,3.4760142168687147,1000,0.0012322937347418335,8.410896299273487,0.95344303474098,0.6
13,0.8123894763784035,0.8,0.9,depthwise,0.1557682812391888,3,8,256,3.0870382776822853,750,0.0012668019591971032,0.7084164288957713,2.598278466487687,0.6
25,0.8118419959254486,0.8,1.0,depthwise,0.05914736216808617,1,12,224,0.45172189521104594,1000,0.011977755158386649,0.19250087956286005,1.3585177533711748,0.6
15,0.8109447335931842,1.0,1.0,depthwise,0.05069713576464247,2,8,96,0.37579787226377376,750,0.006074630250833402,0.06496178986722134,3.2163480831292333,0.9
18,0.8104261382089449,0.9,0.8,lossguide,0.0875882397263919,2,10,128,9.298652867993024,750,0.005590327124798198,0.050699970737307996,3.253774579798413,0.6
0,0.8100166359573601,0.8,1.0,depthwise,0.3984727409321965,0,12,160,0.679657809075816,500,7.072114131472227,2.1368329072358767,0.8152843673110735,0.5
27,0.8074503346972411,1.0,1.0,depthwise,0.028192437514724212,2,6,192,1.1739806261228718,1000,0.0007701205744392363,0.1350193202598871,1.3851147420731575,0.6
19,0.8067288104508736,1.0,0.6,depthwise,0.4618563219406315,6,14,224,0.009419764524068445,1000,0.0004850434914033713,0.0011646115759127516,1.9757167844558021,1.0
6,0.804433629978023,0.9,0.9,depthwise,0.022353042733892443,8,12,192,0.17583640270008521,500,0.02944272359149678,0.12329098365270515,1.3381691783830378,0.5
9,0.7942849480698756,1.0,0.7,depthwise,0.26328806385787124,5,0,160,0.019625093208439862,1000,0.3274121520988885,0.02847858516856297,4.685458407799062,0.5
17,0.7900141304541308,0.5,0.9,depthwise,0.19562706173470873,4,14,32,0.04294804544666601,1000,0.0001193783216049899,0.006904766501954816,1.9090734048741047,0.8
7,0.7690570273339264,0.7,0.6,lossguide,0.008217748737555666,2,0,192,1.0524574681335637,250,0.00024260488932164486,0.014421346497969485,0.7247551191627339,1.0
2,0.7682180119391274,0.6,0.9,lossguide,0.006192568649430466,7,10,64,0.002458603276328005,750,0.015876781526923997,0.003077180271250686,1.563676518390185,1.0
3,0.7550352276298798,1.0,0.6,lossguide,0.3293144658791554,10,4,192,1.2604664585649468,250,2.9794544625913595,0.24637685958997463,4.176805377655878,0.8
4,0.7346403502561824,0.6,0.7,depthwise,0.01232922360724369,1,0,96,0.14817820606039092,250,1.025616274847307,0.0019870215385428634,4.851286697060361,0.9
1,0.7156435299242355,0.6,0.5,depthwise,0.011635338541918906,5,4,160,0.029204338471814112,250,0.8431013932082461,0.006290644294586149,1.6338208828908807,0.8
